location,iso_code,continent,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
Benin,BEN,Africa,12/5/2022,3,0,0,0,0,0,0,0.225,0,0,0,0
Cameroon,CMR,Africa,12/5/2022,16,2,0,0,0,0,0,0.573,0,0,0.072,0
Central African Republic,CAF,Africa,12/5/2022,12,0,0,0,0,0,0,2.151,0,0,0,0
Congo,COG,Africa,12/5/2022,5,0,0,0,0,0,0,0.837,0,0,0,0
Democratic Republic of Congo,COD,Africa,12/5/2022,206,0,0,0,0,0,0,2.081,0,0,0,0
Ghana,GHA,Africa,12/5/2022,107,4,0,0,0,0,0,3.196,0,0,0.119,0
Liberia,LBR,,12/5/2022,3,0,0,0,0,0,0,0.566,0,0,0,0
Mozambique,MOZ,,12/5/2022,1,1,0,0,0,0,0,0.03,0,0,0.03,0
Nigeria,NGA,,12/5/2022,624,7,0,0,0,0,0,2.855,0,0,0.032,0
South Africa,ZAF,,12/5/2022,5,0,0,0,0,0,0,0.083,0,0,0,0
World,OWID_WRL,,12/5/2022,82088,64,0,0,135.57,1.14,0,10.293,0.017,0,0.008,0
Benin,BEN,Africa,12/4/2022,3,0,0,0,0,0,0,0.225,0,0,0,0
Cameroon,CMR,Africa,12/4/2022,16,2,0,0,0,0,0,0.573,0,0,0.072,0
Central African Republic,CAF,Africa,12/4/2022,12,0,0,0,0,0,0,2.151,0,0,0,0
Congo,COG,Africa,12/4/2022,5,0,0,0,0,0,0,0.837,0,0,0,0
Democratic Republic of Congo,COD,Africa,12/4/2022,206,0,0,0,0,0,0,2.081,0,0,0,0
Ghana,GHA,Africa,12/4/2022,107,4,0,0,0,0,0,3.196,0,0,0.119,0
Liberia,LBR,,12/4/2022,3,0,0,0,0,0,0,0.566,0,0,0,0
Mozambique,MOZ,,12/4/2022,1,1,0,0,0,0,0,0.03,0,0,0.03,0
Nigeria,NGA,,12/4/2022,624,7,0,0,0,0,0,2.855,0,0,0.032,0
